datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1990-01-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-25,125.01639999999998,99867.4328,1.3,99992.44919999999,-7.550800000011293e-05,0.9999244919999999,7.550800000011293e-05
1990-05-29,128.1418,99867.4328,1.3,99995.57459999999,3.125636010525845e-05,0.9999557459999999,4.425400000007684e-05
1990-05-30,129.3139,99867.4328,1.3,99996.74669999999,1.172151872408378e-05,0.9999674669999999,3.2533000000056767e-05
1990-05-31,128.92319999999998,99867.4328,1.3,99996.356,-3.907127110402975e-06,0.9999635600000001,3.643999999991543e-05
1990-06-01,127.36049999999999,99867.4328,1.3,99994.79329999999,-1.5627569468712466e-05,0.999947933,5.2067000000044494e-05
1990-06-04,127.36049999999999,99867.4328,1.3,99994.79329999999,0.0,0.999947933,5.2067000000044494e-05
1990-06-05,123.4537,99867.4328,1.3,99990.8865,-3.907003425940303e-05,0.999908865,9.113500000001995e-05
1990-06-06,123.4537,99867.4328,1.3,99990.8865,0.0,0.999908865,9.113500000001995e-05
1990-06-07,121.89099999999999,99867.4328,1.3,99989.3238,-1.5628424296365573e-05,0.9998932380000001,0.00010676199999992697
1990-06-08,119.547,99867.4328,1.3,99986.9798,-2.3442502768422635e-05,0.9998697980000001,0.00013020199999991267
1990-06-11,121.89099999999999,99867.4328,1.3,99989.3238,2.3443052332261516e-05,0.9998932380000001,0.00010676199999992697
1990-06-12,126.57909999999998,99867.4328,1.3,99994.0119,4.6886005643731465e-05,0.999940119,5.9880999999983864e-05
1990-06-13,124.2351,99867.4328,1.3,99991.6679,-2.3441403694701712e-05,0.999916679,8.332099999996956e-05
1990-06-14,124.2351,99867.4328,1.3,99991.6679,0.0,0.999916679,8.332099999996956e-05
1990-06-15,123.4537,99867.4328,1.3,99990.8865,-7.814651124649075e-06,0.999908865,9.113500000001995e-05
1990-06-18,122.6724,99867.4328,1.3,99990.10519999999,-7.813712102677783e-06,0.9999010519999999,9.894800000009862e-05
1990-06-19,123.84440000000001,99867.4328,1.3,99991.2772,1.1721159785427204e-05,0.9999127720000001,8.722799999993924e-05
1990-06-20,125.01639999999998,99867.4328,1.3,99992.44919999999,1.1721022401323111e-05,0.999924492,7.550800000000191e-05
1990-06-21,130.8766,99867.4328,1.3,99998.3094,5.860642525412629e-05,0.9999830940000002,1.690599999981668e-05
1990-06-22,129.7045,99867.4328,1.3,99997.1373,-1.1721198158509694e-05,0.9999713730000003,2.8626999999725733e-05
1990-06-25,128.92319999999998,99867.4328,1.3,99996.356,-7.813223669161928e-06,0.9999635600000003,3.6439999999693384e-05
1990-06-26,126.96979999999999,99867.4328,1.3,99994.4026,-1.9534711844904074e-05,0.9999440260000003,5.597399999968111e-05
1990-06-27,129.7045,99867.4328,1.3,99997.1373,2.7348530806659e-05,0.9999713730000003,2.8626999999725733e-05
1990-06-28,134.3926,99867.4328,1.3,100001.8254,4.6882342100706964e-05,1.0000182540000002,0.0
1990-06-29,139.8621,99867.4328,1.3,100007.2949,5.4694001615507304e-05,1.000072949,0.0
1990-07-02,137.5181,99867.4328,1.3,100004.9509,-2.3438290200128442e-05,1.0000495090000001,2.3439999999874672e-05
1990-07-03,137.5181,99867.4328,1.3,100004.9509,0.0,1.0000495090000001,2.3439999999874672e-05
1990-07-05,135.95540000000003,99867.4328,1.3,100003.3882,-1.5626226361087348e-05,1.000033882,3.9066999999892715e-05
1990-07-06,139.8621,99867.4328,1.3,100007.2949,3.906567637668168e-05,1.000072949,0.0
1990-07-09,145.7223,99867.4328,1.3,100013.15509999999,5.859772535443675e-05,1.000131551,0.0
1990-07-10,146.89430000000002,99867.4328,1.3,100014.3271,1.17184584251806e-05,1.000143271,0.0
1990-07-11,146.89430000000002,99867.4328,1.3,100014.3271,0.0,1.000143271,0.0
1990-07-12,148.06629999999998,99867.4328,1.3,100015.4991,1.1718321104581264e-05,1.0001549910000003,0.0
1990-07-13,146.11290000000002,99867.4328,1.3,100013.54569999999,-1.9530972875103636e-05,1.000135457,1.9534000000209772e-05
1990-07-16,142.5968,99867.4328,1.3,100010.0296,-3.515623784144939e-05,1.000100296,5.4695000000215543e-05
1990-07-17,138.2994,99867.4328,1.3,100005.7322,-4.296969031192255e-05,1.000057322,9.766900000029999e-05
1990-07-18,139.4714,99867.4328,1.3,100006.90419999999,1.1719328224524261e-05,1.0000690419999998,8.594900000047367e-05
1990-07-19,130.4859,99867.4328,1.3,99997.9187,-8.984879665929757e-05,0.9999791869999999,0.0001758040000003902
1990-07-20,128.1418,99867.4328,1.3,99995.57459999999,-2.344148788768763e-05,0.9999557459999999,0.00019924500000034762
1990-07-23,129.7045,99867.4328,1.3,99997.1373,1.5627691587916104e-05,0.9999713729999999,0.00018361800000032957
1990-07-24,131.6579,99867.4328,1.3,99999.0907,1.9534559215772518e-05,0.9999909069999999,0.00016408400000034185
1990-07-25,132.0486,99867.4328,1.3,99999.48139999999,3.9070355266623835e-06,0.9999948139999999,0.00016017700000037216
1990-07-26,129.3139,99867.4328,1.3,99996.74669999999,-2.7347141822287035e-05,0.9999674669999999,0.00018752400000032754
1990-07-27,129.3139,99867.4328,1.3,99996.74669999999,0.0,0.9999674669999999,0.00018752400000032754
1990-07-30,132.4393,99867.4328,1.3,99999.8721,3.125501681955356e-05,0.999998721,0.00015627000000029145
1990-07-31,131.26719999999997,99867.4328,1.3,99998.7,-1.1721014991139533e-05,0.9999870000000001,0.0001679910000002005
1990-08-01,132.4393,99867.4328,1.3,99999.8721,1.172115237491056e-05,0.999998721,0.00015627000000029145
1990-08-02,135.95540000000003,99867.4328,1.3,100003.3882,3.5161044971143696e-05,1.000033882,0.00012110900000017466
1990-08-03,128.92319999999998,99867.4328,1.3,99996.356,-7.031961743075854e-05,0.9999635600000001,0.0001914310000001862
1990-08-06,123.4537,99867.4328,1.3,99990.8865,-5.469699315852061e-05,0.999908865,0.0002461260000002907
1990-08-07,123.4537,99867.4328,1.3,99990.8865,0.0,0.999908865,0.0002461260000002907
